year,ECODISTRIC,Province_ID,Texture,deltaSOCAdj
2004,822,SK,medium,0.040120758
2005,822,SK,medium,0.212231718
2006,822,SK,medium,0.223901818
2007,822,SK,medium,0.120287026
2008,822,SK,medium,0.117154475
2009,822,SK,medium,0.309079818
2010,822,SK,medium,0.290608818
2011,822,SK,medium,0.097160338
2012,822,SK,medium,0.211619428
2013,822,SK,medium,0.208084898
2014,822,SK,medium,0.359345518
2015,822,SK,medium,0.107557048
2016,822,SK,medium,0.124068122
2017,822,SK,medium,0.239727818
2018,822,SK,medium,0.036396098
2019,822,SK,medium,0.127869933
2020,822,SK,medium,0.189158438
2021,822,SK,medium,0.241565718
2022,822,SK,medium,-0.261706682
1990,823,AB,coarse,0.05636495
1991,823,AB,coarse,0.005218554
1992,823,AB,coarse,0.05677303
1993,823,AB,coarse,-0.02421096
1994,823,AB,coarse,0.05136418
1995,823,AB,coarse,-0.01625107
1996,823,AB,coarse,0.09077395
1997,823,AB,coarse,0.02113616
1998,823,AB,coarse,0.0070778
1999,823,AB,coarse,0.06627338
2000,823,AB,coarse,0.04451241
2001,823,AB,coarse,-0.04003105
2002,823,AB,coarse,-0.08654499
2003,823,AB,coarse,-0.02941841
2004,823,AB,coarse,0.08262389
2005,823,AB,coarse,0.08581349
2006,823,AB,coarse,0.11383316
2007,823,AB,coarse,0.07470246
2008,823,AB,coarse,0.04482234
2009,823,AB,coarse,0.16760256
2010,823,AB,coarse,0.06096201
2011,823,AB,coarse,0.08125781
2012,823,AB,coarse,0.11778076
2013,823,AB,coarse,0.07291669
2014,823,AB,coarse,0.13361836
2015,823,AB,coarse,0.05009217
2016,823,AB,coarse,0.02681923
2017,823,AB,coarse,0.11493266
2018,823,AB,coarse,0.05063446
2019,823,AB,coarse,0.02327533
2020,823,AB,coarse,-0.01009219
2021,823,AB,coarse,0.16440386
2022,823,AB,coarse,-0.11672474
1990,823,AB,medium,0.068023703
1991,823,AB,medium,-0.033212287
1992,823,AB,medium,0.066244433
1993,823,AB,medium,-0.094489517
1994,823,AB,medium,0.052326093
1995,823,AB,medium,-0.080982217
1996,823,AB,medium,0.128512633
1997,823,AB,medium,-0.008384297
1998,823,AB,medium,-0.038614957
1999,823,AB,medium,0.076908353
2000,823,AB,medium,0.033884613
2001,823,AB,medium,-0.134288067
2002,823,AB,medium,-0.227604267
2003,823,AB,medium,-0.114678067
2004,823,AB,medium,0.108417633
2005,823,AB,medium,0.116710833
2006,823,AB,medium,0.170747733
2007,823,AB,medium,0.091932633
2008,823,AB,medium,0.030145393
2009,823,AB,medium,0.269200133
2010,823,AB,medium,0.058900443
2011,823,AB,medium,0.094945933
2012,823,AB,medium,0.164895033
2013,823,AB,medium,0.075362823
2014,823,AB,medium,0.191847033
2015,823,AB,medium,0.026859183
2016,823,AB,medium,-0.021219053
2017,823,AB,medium,0.150471333
2018,823,AB,medium,0.025600813
2019,823,AB,medium,-0.029002121
2020,823,AB,medium,-0.094539187
2021,823,AB,medium,0.247902933
2022,823,AB,medium,-0.300887767
1990,824,SK,coarse,0.112972374
1991,824,SK,coarse,0.046680044
1992,824,SK,coarse,0.066056243
1993,824,SK,coarse,0.045593304
1994,824,SK,coarse,0.075473074
1995,824,SK,coarse,0.047374504
1996,824,SK,coarse,0.092976124
1997,824,SK,coarse,0.085496624
1998,824,SK,coarse,0.071725738
1999,824,SK,coarse,0.101731214
2000,824,SK,coarse,0.059584295
2001,824,SK,coarse,0.111977624
2002,824,SK,coarse,-0.064215006
2003,824,SK,coarse,0.040533114
2004,824,SK,coarse,0.056441357
2005,824,SK,coarse,0.155654114
2006,824,SK,coarse,0.139947044
2007,824,SK,coarse,0.003295754
2008,824,SK,coarse,0.095201844
2009,824,SK,coarse,0.182232794
2010,824,SK,coarse,0.130187734
2011,824,SK,coarse,0.065404613
2012,824,SK,coarse,0.134375554
2013,824,SK,coarse,0.116339114
2014,824,SK,coarse,0.194724294
2015,824,SK,coarse,0.098371354
2016,824,SK,coarse,0.072690403
2017,824,SK,coarse,0.177870294
2018,824,SK,coarse,0.002915624
2019,824,SK,coarse,0.042636314
2020,824,SK,coarse,0.076925134
2021,824,SK,coarse,0.108287814
2022,824,SK,coarse,-0.130181906
1990,824,SK,fine,0.211461618
1991,824,SK,fine,0.044051378
1992,824,SK,fine,0.088605188
1993,824,SK,fine,0.035756708
1994,824,SK,fine,0.106392778
1995,824,SK,fine,0.035323708
1996,824,SK,fine,0.144564608
1997,824,SK,fine,0.123175358
1998,824,SK,fine,0.087156278
1999,824,SK,fine,0.157984318
2000,824,SK,fine,0.053053454
2001,824,SK,fine,0.178954818
2002,824,SK,fine,-0.249947882
2003,824,SK,fine,0.008856998
2004,824,SK,fine,0.046926498
2005,824,SK,fine,0.285580518
2006,824,SK,fine,0.242122518
2007,824,SK,fine,-0.091215682
2008,824,SK,fine,0.133386168
2009,824,SK,fine,0.340585218
2010,824,SK,fine,0.208885518
2011,824,SK,fine,0.050224506
2012,824,SK,fine,0.216721818
2013,824,SK,fine,0.169687218
2014,824,SK,fine,0.355882518
2015,824,SK,fine,0.118457798
2016,824,SK,fine,0.05666723
2017,824,SK,fine,0.309622718
2018,824,SK,fine,-0.114365382
2019,824,SK,fine,-0.013779182
2020,824,SK,fine,0.070289548
2021,824,SK,fine,0.145333558
2022,824,SK,fine,-0.428485582
1990,824,SK,medium,0.161263398
1991,824,SK,medium,0.066175658
1992,824,SK,medium,0.093654771
1993,824,SK,medium,0.063068368
1994,824,SK,medium,0.106410328
1995,824,SK,medium,0.064911208
1996,824,SK,medium,0.131435068
1997,824,SK,medium,0.120686388
1998,824,SK,medium,0.099670225
1999,824,SK,medium,0.143086138
2000,824,SK,medium,0.080745648
2001,824,SK,medium,0.156812398
2002,824,SK,medium,-0.102892812
2003,824,SK,medium,0.048588978
2004,824,SK,medium,0.073910158
2005,824,SK,medium,0.221047488
2006,824,SK,medium,0.199390988
2007,824,SK,medium,-0.002929612
2008,824,SK,medium,0.129452888
2009,824,SK,medium,0.258603188
2010,824,SK,medium,0.182935998
2011,824,SK,medium,0.085820858
2012,824,SK,medium,0.185334468
2013,824,SK,medium,0.159075978
2014,824,SK,medium,0.273513288
2015,824,SK,medium,0.132094958
2016,824,SK,medium,0.091923283
2017,824,SK,medium,0.245327688
2018,824,SK,medium,-0.010453812
2019,824,SK,medium,0.045150798
2020,824,SK,medium,0.09621365
2021,824,SK,medium,0.143364098
2022,824,SK,medium,-0.206472312
1990,825,SK,medium,0.190408763
1991,825,SK,medium,0.101618263
1992,825,SK,medium,0.129317683
1993,825,SK,medium,0.040251453
1994,825,SK,medium,0.097535474
1995,825,SK,medium,0.034913773
1996,825,SK,medium,0.100701013
1997,825,SK,medium,0.126886183
1998,825,SK,medium,0.099525318
1999,825,SK,medium,0.116077443
2000,825,SK,medium,0.091360287
2001,825,SK,medium,0.207057283
2002,825,SK,medium,-0.130098317
2003,825,SK,medium,0.039441023
2004,825,SK,medium,0.067741543
2005,825,SK,medium,0.301581183
2006,825,SK,medium,0.251745283
2007,825,SK,medium,0.002869073
2008,825,SK,medium,0.138376403
2009,825,SK,medium,0.310055283
2010,825,SK,medium,0.214838883
2011,825,SK,medium,0.116457973
2012,825,SK,medium,0.200565883
2013,825,SK,medium,0.173644363
2014,825,SK,medium,0.346869783
2015,825,SK,medium,0.118209633
2016,825,SK,medium,0.098318944
2017,825,SK,medium,0.259304283
2018,825,SK,medium,-0.066736317
2019,825,SK,medium,0.036671763
2020,825,SK,medium,0.118140163
2021,825,SK,medium,0.167285313
2022,825,SK,medium,-0.321314617
1990,826,SK,coarse,0.102876722
1991,826,SK,coarse,0.102493902
1992,826,SK,coarse,0.103436922
1993,826,SK,coarse,0.049638622
1994,826,SK,coarse,0.055043932
1995,826,SK,coarse,0.033880172
1996,826,SK,coarse,0.055434692
1997,826,SK,coarse,0.07358866
1998,826,SK,coarse,0.049307612
1999,826,SK,coarse,0.076982371
2000,826,SK,coarse,0.073657249
2001,826,SK,coarse,0.120807992
2002,826,SK,coarse,0.006691572
2003,826,SK,coarse,0.051348492
2004,826,SK,coarse,0.031288832
2005,826,SK,coarse,0.160797012
2006,826,SK,coarse,0.110269722
2007,826,SK,coarse,0.007142262
2008,826,SK,coarse,0.066559053
2009,826,SK,coarse,0.141773802
2010,826,SK,coarse,0.162803242
2011,826,SK,coarse,0.092145502
2012,826,SK,coarse,0.089853612
2013,826,SK,coarse,0.131760932
2014,826,SK,coarse,0.196449952
2015,826,SK,coarse,0.097585402
2016,826,SK,coarse,0.087183162
2017,826,SK,coarse,0.179111552
